Gene	LEU_DOWN	HTERT_UP	INSULIN_2F_UP	p53_signalling	breast_cancer_estrog	insulin_signalling	tRNA_Synthetases	MAP00970_Aminoacyl_t	mtorPathway	MAP00251_Glutamate_m	CR_TRANSPORT_OF_VESI	vegfPathway	raccycdPathway	ceramidePathway	cxcr4Pathway	sppaPathway	bcl2family_and_reg_n	GLYCOL	MAP00010_Glycolysis_	GLUCO
PSMD7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MADH1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIL3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDBP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC33A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL49	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHFPL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MADH7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASNS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGUOK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGIF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP88	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R2A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCFD2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCYE1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2E2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4G1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HSPA4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCS	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNFRSF1A	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CAD	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNRPA1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP2K3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GARP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC61B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BST2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMPS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP98	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRCC5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSPT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT6A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BYSL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PSMD14	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNCL1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCN1L1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD59	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL41	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAQ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2V2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SET	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JTV1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNTA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R3A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TM4SF3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBSCR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLNS1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1G	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCN1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTP4A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADFP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AFZ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
EIF2B2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EIF2S2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PPIA	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNA2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TNFAIP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAPPA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP2A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAU	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB2A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADD	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MAP2K4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HIF1A	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASA1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMAIP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDRG4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAC1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDKN1A	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RB1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HK2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LDHA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PGK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
LDHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
GPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PKM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PGM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ALDH3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DLD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DLAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH3B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH3B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PFKP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
