Gene	HEMO_TF_LIST_JP	FETAL_LIVER_HS_ENRIC	SIG_BCR_Signaling_Pa	CR_IMMUNE_FUNCTION	ST_G_alpha_i_Pathway	ST_GRANULE_CELL_SURV	ST_ADRENERGIC	HOX_LIST_JP	tcrPathway	tob1Pathway	il17Pathway	Il12Pathway	no2il12Pathway	ctla4Pathway	amiPathway	cskPathway	GO_ROS	badPathway	MAP00590_Prostagland	GPCRs_Class_B_Secret
PBX1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOXA5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOXB3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MYB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLI1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNFN1A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPAS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAV1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSK3A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD81	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4K1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP5D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD22	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD19	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTK	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6ST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD53	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD48	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CD34	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IL3RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FYN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTPN7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CRHR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CALCRL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTHR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VIPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CYP4F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALOX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PTGS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALOX12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PTGDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PLA2G1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ITK	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TGFBR3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GPX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ATOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SEPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LTC4S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CYBA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CCL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
