Gene	GLUT_DOWN	RAP_DOWN	INSULIN_2F_UP	LEU_DOWN	GNF_FEMALE_GENES	Proteasome_Degradati	ST_Dictyostelium_dis	proteasomePathway	mtorPathway	XINACT_MERGED	cellcyclePathway	raccycdPathway	telPathway	TCA	rhoPathway	MAP00193_ATP_synthes	cell_cycle_arrest	SA_G1_AND_S_PHASES	mRNA_splicing	mRNA_processing
PES1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPAB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2G2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSGP25L2G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BZW1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPA2B1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RQCD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M11S1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNRPC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MYCBP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HADH2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAP3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGDS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PICALM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF259	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPZA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNA3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2L3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCCS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTN4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVRL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALU	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYOU1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GORASP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF3C1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTL3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IDH3A	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FKBP4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPC111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC29A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSBP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5G3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC84549	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAP31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNCRIP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBNA1BP2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEH1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA2G4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2M	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPH2L2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1E1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XBP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QBP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU3IP2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS26	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTDSS1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRCC5	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HSPCA	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FNBP3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNRPA1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LDHB	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHSA1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGC5508	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM17A	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZP564F0522	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL5A	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP13	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDG	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ12443	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSE1L	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFRC	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0117	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPCB	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRMT1L2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIB	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMET	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX21	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMD1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRM	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRM1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJA1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCS	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT6A	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKI67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBC	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHC1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETF1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEBP	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1055	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC-1R	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0152	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VRK1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GART	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BST2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HUMGT198A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUTF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHX15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRPA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CPSF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FUSIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CUGBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRPA0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SFRS9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
U2AF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNRPD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SRP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDC40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNRPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NCBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNRPD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SF3A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HPRP8BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
U2AF1L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNRPB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LSM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SFRS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SF3B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
U2AF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SFRS2IP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
USP39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SF3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SFRS10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PRPF4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNRPF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MPHOSPH10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SFPQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
KHSRP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CFL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
E2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PFN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PIP5K1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DIAPH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ARPC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ARPC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
UBE1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
PSMC3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMA3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBE3A	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMB4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMA7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPN2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPN1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBE2A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMA2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATP6V1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATP6V0A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ATP6V1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DNCL1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOA	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AFZ	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA4	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VCP	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2A2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNP24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LSM3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STS	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
USP9X	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMD13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2V2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HK2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAQ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXMP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAT2A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
