Gene	chr1p34	chr2q31	chrXp11	chr13q14	chr16p12	chrXp22	chr12q23	chr5q14	chr13q12	chr3q29	chr10q11	chr8q11	chr11p11	chr20p12	chr8p11	chr2q14	chr8p23	chr4q22	chr6q15	chrXq23
GPR17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DDX18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TSN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RALB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SGCG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC7A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SAP18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PARP4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HSPH1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HMGB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C13orf12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPL21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TUBA2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PABPC3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRNPIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCRH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NASP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEKT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTPS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2C4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBNA1BP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXJ3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFPQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERMAP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MACF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPH2L2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCDN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2C3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRAGC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJA4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6IP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCB1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21R	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMC5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3E	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMOD	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF3C1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MKKS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C20orf103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ANKRD5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C20orf30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PCNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RRBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHGB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DEFB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MFHAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MSRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MYOM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DEFA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GATA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BDH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CENTB2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPN2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PAK2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL35A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TFRC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCBP2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SENP5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MFI2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPP1R2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GATA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEX2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKFB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRO	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPYL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCSK1N	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9X	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX3X	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC1L1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
UNC5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PDHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HERC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HERC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ATOH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HOXD3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKRA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDK1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASPIP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5G3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNCI2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2L2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPA3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLK1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTX2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE11A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXD4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAT	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MSMB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BMS1L	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDF2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTGLF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HNRPF	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TIMM23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NXT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL13RA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AMMECR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GLT28D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KPNA3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRCH1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCLA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LECT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCBTB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13orf1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP14C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HCFC2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TDG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRY1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPO	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PCTK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CHPT1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NFYB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TACC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CHRNA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DKK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C8orf4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PLEKHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
INDO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ADAM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNTG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LYPLA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP6V1H	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UBE2V2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCEA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MRPL15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRKDC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RB1CC1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MCM4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GTPBP6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APXL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKX	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSL3L1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1S2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNPLA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2AF1L2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDHD1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF1AX	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RRAGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNGTT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORC3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PNRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
UBE2J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
