Gene	chr21q22	chr21	chr9q34	chr1q24	chr17p11	chr5p15	chrYp11	chrY	chrYq11	chr4q13	chr9q21	chr8p12	chr2q24	chr5p13	chr11q22	chr6q24	chr13q13	chr3p25	chr2q32	chr7p21
TPTE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFP38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3BGR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf108	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL18A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAF1B	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DONSON	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFF1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADARB1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYZL1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLCS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100B	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf55	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf62	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIAM1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMO3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRS15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIPK4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRPS1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARL4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CXCL3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IL8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UGT2B4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC4A4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MUC7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GPR107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SURF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP5E	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNM1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3GLB2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAEP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDCCAG3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRX2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSNA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SURF5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRAT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAPC4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D3C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf86	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPGEF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIN1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENDOG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PPARG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC6A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TTLL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAB11FIP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASH2L	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
STAR	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PURG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DDHD2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FGFR1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BAG4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NRG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TEX15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RBPMS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PIGL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPN2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO15A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF287	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SREBF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP3A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLCN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULK2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCN7A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PLA2R1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TBR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B3GALT1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KCNH7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BAZ2B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DPP4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
STK39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NR4A2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SEMA5A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKH	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC12A7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC6L1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NUP155	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PIP3AP	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1QTNF3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PDZK3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IL7R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FBXO4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GPA33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC19A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XCL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XCL2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGST3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIFAP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3Z	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU2F1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR161	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREG1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
STAT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SDPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MYO1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PDGFD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DDX10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MMP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ATM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CNTN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MMP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TRPC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CASP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NBEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRPC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CCNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DCAMKL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LHFP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SMC5L1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
VPS13A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC28A3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APBA1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TLE4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TLE1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KIAA0367	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PCSK5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAQ	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RORB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GOLPH2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RAB32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GPR126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HIVEP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CITED2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NMBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SASH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
