GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
MAP00220_Urea_cycle_and_metabolism_of_amino_groups	17	GenMAPP	-0.40508	-1.1315	0.3075	0.59618	1	0.353	0.199	0.284	0.57871	0.016
ST_Tumor_Necrosis_Factor_Pathway	25	Signalling Transduction KE	-0.35184	-1.1281	0.3108	0.59598	1	0.24	0.131	0.209	0.57808	0.014
hivnefPathway	43	BioCarta	-0.3112	-1.1277	0.2869	0.58951	1	0.233	0.14	0.202	0.57162	0.01
rac1Pathway	19	BioCarta	-0.37177	-1.1261	0.2998	0.5858	1	0.368	0.201	0.295	0.57004	0.009
ST_Interleukin_4_Pathway	20	Signalling Transduction KE	-0.37478	-1.1209	0.3139	0.58989	1	0.15	0.0213	0.147	0.57496	0.008
cytokinePathway	20	Intercellular signaling in the immune system occurs via secretion of cytokines, which promote antigen-dependent B and T cell response.	-0.39411	-1.1173	0.343	0.59062	1	0.3	0.142	0.258	0.57516	0.01
chemicalPathway	15	DNA damage promotes Bid cleavage, which stimulates mitochondrial cytochrome c release and consequent caspase activation, resulting in apoptosis.	-0.3773	-1.1127	0.34	0.59338	1	0.467	0.248	0.352	0.57974	0.008
ST_ERK1_ERK2_MAPK_Pathway	26	Signalling Transduction KE	-0.31286	-1.1036	0.2909	0.60621	1	0.308	0.174	0.255	0.59546	0.012
mapkPathway	66	BioCarta	-0.25251	-1.0906	0.2925	0.62657	1	0.333	0.21	0.267	0.61789	0.016
egfPathway	23	The epidermal growth factor (EGF) peptide stimulates the EGF receptor to promote cell proliferation via the MAP kinase and Ras pathways.	-0.32931	-1.0898	0.3354	0.62143	1	0.261	0.14	0.225	0.61302	0.015
p38mapkPathway	30	BioCarta	-0.29015	-1.0874	0.3239	0.62031	1	0.267	0.189	0.217	0.61061	0.013
GNF_FEMALE_GENES	61	na	-0.32962	-1.0873	0.3705	0.61373	1	0.295	0.184	0.244	0.60397	0.009
MAP00330_Arginine_and_proline_metabolism	36	GenMAPP	-0.32383	-1.085	0.3592	0.61235	1	0.306	0.199	0.246	0.60085	0.007
MAP00252_Alanine_and_aspartate_metabolism	20	GenMAPP	-0.35551	-1.0772	0.339	0.62224	1	0.3	0.118	0.266	0.61128	0.008
P53_DOWN	16	Kannan_et_al_2001	-0.35144	-1.076	0.3495	0.61792	1	0.25	0.153	0.212	0.6079	0.008
at1rPathway	28	Binding of angiotensin II to AT1-R activates Ca2+ signaling and the JNK pathway.	-0.30233	-1.0749	0.3479	0.61353	1	0.321	0.16	0.272	0.6055	0.007
cell_growth_and_or_maintenance	41	The processes pertinent to the integrated function of a cell.	-0.2898	-1.0715	0.3532	0.61414	1	0.22	0.105	0.198	0.60446	0.005
MAP00910_Nitrogen_metabolism	17	GenMAPP	-0.34826	-1.071	0.3392	0.60917	1	0.471	0.205	0.375	0.59959	0.004
telPathway	17	BioCarta	-0.34427	-1.0648	0.3879	0.61525	1	0.529	0.263	0.391	0.60804	0.004
human_mitoDB_6_2002	231	Manually Curated	-0.28476	-1.0643	0.3756	0.60998	1	0.312	0.231	0.251	0.60357	0.002
tpoPathway	19	BioCarta	-0.34396	-1.0599	0.4188	0.61271	1	0.263	0.14	0.227	0.60443	0.003
g2Pathway	20	BioCarta	-0.33331	-1.0586	0.3717	0.60903	1	0.3	0.153	0.255	0.60128	0.002
ST_p38_MAPK_Pathway	27	Signalling Transduction KE	-0.291	-1.051	0.3889	0.61884	1	0.37	0.246	0.281	0.61313	0.003
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	20	SignallingAlliance	-0.3599	-1.0499	0.4031	0.61539	1	0.3	0.188	0.245	0.60799	0.002
caspasePathway	19	Caspases are cysteine proteases active in apoptosis; caspase-8 and 9 cleave and activate other caspases, while 3, 6, and 7 cleave cellular targets.	-0.37391	-1.0463	0.4202	0.61718	1	0.263	0.126	0.231	0.61394	0.002
Glycogen_Metabolism	31	BioCarta	-0.31063	-1.0452	0.3934	0.61326	1	0.355	0.223	0.277	0.60922	0.002
tnfr1Pathway	23	BioCarta	-0.30498	-1.0422	0.3675	0.61358	1	0.696	0.382	0.432	0.61121	0.002
LEU_UP	80	Peng_at_al_2002	-0.24478	-1.041	0.381	0.61039	1	0.238	0.154	0.204	0.60854	0.002
proteasomePathway	20	BioCarta	-0.3951	-1.0405	0.4333	0.60562	1	0.45	0.213	0.355	0.60296	0.001
CR_PROTEIN_MOD	125	PNAS_2010	-0.22058	-1.0368	0.3679	0.60706	1	0.296	0.214	0.238	0.6025	0.001
mitochondr	231	Manually Curated	-0.26429	-1.0353	0.3937	0.60443	1	0.312	0.231	0.251	0.60112	0.001
MAP00410_beta_Alanine_metabolism	17	GenMAPP	-0.34174	-1.0333	0.4168	0.60275	1	0.353	0.194	0.285	0.59848	0.001
stressPathway	20	BioCarta	-0.30376	-1.0159	0.4036	0.63105	1	0.55	0.31	0.381	0.62486	0.002
il6Pathway	17	BioCarta	-0.33249	-1.0137	0.424	0.62982	1	0.294	0.142	0.253	0.62627	0.002
MAP00360_Phenylalanine_metabolism	15	GenMAPP	-0.35348	-1.0125	0.4341	0.62654	1	0.267	0.101	0.24	0.62261	0.001
igf1Pathway	18	BioCarta	-0.36044	-1.0079	0.4561	0.63025	1	0.278	0.14	0.24	0.62594	0.001
PROLIF_GENES	271	Manually Curated	-0.19413	-0.99292	0.4649	0.65407	1	0.24	0.205	0.201	0.65217	0.002
tollPathway	19	BioCarta	-0.31248	-0.99117	0.4706	0.6517	1	0.579	0.331	0.389	0.64966	0.001
ghPathway	20	BioCarta	-0.32603	-0.99032	0.4798	0.64774	1	0.2	0.0834	0.184	0.64553	0
fasPathway	22	Binding of the Fas ligand to the Fas receptor induces caspase activation and consequent apoptosis in the Fas-expressing cell.	-0.31513	-0.96803	0.4978	0.68591	1	0.273	0.167	0.228	0.68356	0.004
keratinocytePathway	36	BioCarta	-0.26144	-0.9671	0.4959	0.68237	1	0.361	0.21	0.287	0.68013	0.004
nkcellsPathway	15	BioCarta	-0.35681	-0.96161	0.4544	0.68728	1	0.4	0.194	0.323	0.68615	0.003
fcer1Pathway	31	In mast cells, Fc epsilon receptor 1 activates BTK, PKC, and the MAP kinase pathway to promote degranulation and arachnidonic acid release.	-0.27561	-0.96075	0.5087	0.68371	1	0.194	0.0964	0.176	0.68699	0.002
MAP00020_Citrate_cycle_TCA_cycle	15	GenMAPP	-0.39062	-0.95877	0.5097	0.68165	1	0.467	0.266	0.343	0.68145	0.002
MAP00230_Purine_metabolism	65	GenMAPP	-0.24626	-0.95104	0.5034	0.69106	1	0.246	0.173	0.206	0.69203	0.002
Krebs-TCA_Cycle	21	BioCarta	-0.33102	-0.94231	0.5171	0.70282	1	0.381	0.266	0.281	0.70283	0.002
tumor_supressor	19	BioCarta	-0.29036	-0.94137	0.5609	0.69879	1	0.263	0.198	0.212	0.69858	0.003
epoPathway	17	Erythropoietin, which activates the MAPK pathway, stimulates erythrocyte production and is an effective treatment for anemia.	-0.31794	-0.93812	0.5204	0.69956	1	0.235	0.0834	0.216	0.70025	0.001
cell_adhesion_receptor_activity	26	OBSOLETE. Combining with cell adhesion molecules to initiate a change in cell activity.	-0.31682	-0.92597	0.5354	0.71743	1	0.308	0.132	0.268	0.72025	0.003
GLUT_UP	161	Peng_at_al_2002	-0.20981	-0.92431	0.586	0.71531	1	0.199	0.148	0.175	0.71739	0.002
ST_Integrin_Signaling_Pathway	53	Signalling Transduction KE	-0.23091	-0.91467	0.6193	0.72782	1	0.151	0.0964	0.138	0.73074	0.001
bcrPathway	29	B cell antigen receptors (BCRs) activate tyrosine kinases and transiently increase tyrosine phosphorylation on binding to antigen.	-0.26633	-0.9083	0.5885	0.73468	1	0.345	0.21	0.274	0.73714	0.001
P53_UP	39	Kannan_et_al_2001	-0.24559	-0.90693	0.6191	0.7318	1	0.205	0.114	0.183	0.73544	0.001
ca_nf_at_signalling	81	GEArray	-0.21599	-0.905	0.5957	0.73006	1	0.136	0.0932	0.125	0.73384	0
ST_Fas_Signaling_Pathway	41	Signalling Transduction KE	-0.23379	-0.90412	0.6259	0.72659	1	0.146	0.0978	0.133	0.73025	0
GLUCOSE_DOWN	100	Peng_at_al_2002	-0.21052	-0.90006	0.6095	0.72917	1	0.23	0.152	0.199	0.73165	0
GLYCOGEN	15	Manually Curated	-0.31589	-0.89737	0.5791	0.72867	1	0.6	0.361	0.385	0.73101	0
MAP00650_Butanoate_metabolism	19	GenMAPP	-0.31029	-0.89303	0.5833	0.73081	1	0.263	0.194	0.213	0.73278	0
th1th2Pathway	18	BioCarta	-0.32106	-0.89118	0.586	0.72915	1	0.333	0.196	0.269	0.7295	0
il2rbPathway	31	BioCarta	-0.25962	-0.88376	0.6277	0.73709	1	0.194	0.111	0.173	0.73842	0
Electron_Transport_Chain	40	BioCarta	-0.30746	-0.88266	0.5876	0.73378	1	0.325	0.231	0.252	0.73476	0
ptdinsPathway	19	BioCarta	-0.27161	-0.8803	0.6498	0.7329	1	0.158	0.0742	0.147	0.73401	0
pdgfPathway	23	BioCarta	-0.27613	-0.87808	0.6258	0.73175	1	0.217	0.14	0.188	0.73503	0
VOXPHOS	38	BioCarta	-0.29983	-0.87409	0.5884	0.73366	1	0.316	0.231	0.245	0.73744	0
vipPathway	22	BioCarta	-0.26616	-0.86771	0.6354	0.74009	1	0.273	0.19	0.222	0.74294	0
CR_REPAIR	28	PNAS_2011	-0.26628	-0.84915	0.6667	0.76691	1	0.179	0.113	0.159	0.76884	0
MAP00350_Tyrosine_metabolism	25	GenMAPP	-0.26809	-0.8311	0.6899	0.79235	1	0.2	0.101	0.181	0.79287	0.001
il2Pathway	21	BioCarta	-0.27017	-0.83009	0.6838	0.78872	1	0.238	0.0878	0.218	0.78959	0.001
shh_lisa	17	Manually Curated	-0.25706	-0.82251	0.7474	0.79595	1	0.176	0.1	0.159	0.79851	0
Inflammatory_Response_Pathway	25	BioCarta	-0.26194	-0.78393	0.7259	0.85203	1	0.12	0.0213	0.118	0.85543	0.006
TESTIS_GENES_FROM_XHX_AND_NETAFFX	27	na	-0.22623	-0.75676	0.8204	0.88753	1	0.222	0.153	0.189	0.8931	0.031
MAP00480_Glutathione_metabolism	16	GenMAPP	-0.29067	-0.75506	0.6998	0.88397	1	0.25	0.14	0.216	0.88947	0.024
alkPathway	28	Activin receptor-like kinase 3 (ALK3) is required during gestation for cardiac muscle development.	-0.21881	-0.74262	0.8648	0.89562	1	0.286	0.208	0.228	0.90002	0.033
gcrPathway	16	BioCarta	-0.24418	-0.73778	0.8306	0.89682	1	0.25	0.16	0.211	0.90178	0.033
NFKB_REDUCED	15	Hinata_et_al_2003	-0.25025	-0.72896	0.8405	0.90377	1	0.333	0.219	0.261	0.9086	0.039
carm-erPathway	16	Methyltransferase CARM1 methylates CBP and co-activates estrogen receptors via Grip1.	-0.24241	-0.72736	0.8312	0.90027	1	0.375	0.282	0.27	0.9047	0.03
tnf_and_fas_network	18	BioCarta	-0.25657	-0.72578	0.7886	0.89648	1	0.278	0.156	0.235	0.9012	0.02
CR_CAM	83	PNAS_2002	-0.19953	-0.72074	0.8351	0.8972	1	0.181	0.138	0.158	0.89945	0.013
rhoPathway	19	BioCarta	-0.23865	-0.69927	0.865	0.91814	1	0.368	0.252	0.276	0.92222	0.031
EMT_DOWN	34	Jechlinger_et_al_2003	-0.21757	-0.69725	0.8367	0.91475	1	0.265	0.206	0.211	0.91848	0.018
Fatty_Acid_Degradation	15	BioCarta	-0.25288	-0.69239	0.833	0.91429	1	0.333	0.187	0.272	0.91848	0.018
MAP00280_Valine_leucine_and_isoleucine_degradation	22	GenMAPP	-0.24481	-0.65542	0.8291	0.94579	1	0.227	0.194	0.184	0.94837	0.067
MAP00190_Oxidative_phosphorylation	36	GenMAPP	-0.20805	-0.63827	0.8668	0.9553	1	0.333	0.287	0.239	0.95833	0.084
Matrix_Metalloproteinases	20	BioCarta	-0.2005	-0.57209	0.9327	0.99315	1	0.35	0.278	0.254	0.99614	0.429
stemPathway	15	BioCarta	-0.21054	-0.57052	0.9488	0.98791	1	0.2	0.142	0.172	0.99089	0.313
mRNA_splicing	30	BioCarta	-0.20529	-0.56224	0.8826	0.98574	1	0.267	0.205	0.213	0.98907	0.26
mRNA_processing	28	BioCarta	-0.19678	-0.53235	0.9348	0.99126	1	0.286	0.205	0.228	0.99303	0.322
edg1Pathway	19	The lipid S1P is an EDG1 ligand promoting chemotaxis via Rac1 and cell survival and proliferation via ERK activation.	-0.17229	-0.5091	0.9813	0.9916	1	0.263	0.24	0.201	0.99368	0.218
hdacPathway	22	BioCarta	-0.16349	-0.50356	0.998	0.98715	1	0.227	0.19	0.185	0.98969	0.255
