GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
SA_B_CELL_RECEPTOR_COMPLEXES	19	SigmaAldrich	0.35455	1.0601	0.3594	0.77062	1	0.316	0.133	0.275	0.76633	0.111
dcPathway	18	Dendritic cells internalize and present antigen, after which they migrate to lymphocyte-rich tissues and induce T and B cell differentiation.	0.39434	1.0481	0.4135	0.78275	1	0.333	0.225	0.259	0.77706	0.111
cell_adhesion_molecule_activity	81	OBSOLETE. Mediates the adhesion of the cell to other cells or to the extracellular matrix.	0.26835	1.0465	0.3924	0.76926	1	0.358	0.232	0.279	0.76433	0.099
ST_Ga12_Pathway	18	Signalling Transduction KE	0.3341	1.0139	0.4362	0.83116	1	0.278	0.126	0.244	0.82741	0.175
cell_adhesion	132	The attachment of a cell, either to another cell or to the extracellular matrix, via cell adhesion molecules.	0.25321	1.0094	0.4359	0.8255	1	0.25	0.154	0.217	0.82079	0.163
CR_TRANSCRIPTION_FACTORS	63	PNAS_2013	0.26413	1.0085	0.4393	0.81069	1	0.254	0.159	0.216	0.80697	0.135
GPCRs_Class_A_Rhodopsin-like	94	GO	0.30819	0.99907	0.4751	0.81712	1	0.298	0.216	0.238	0.81735	0.134
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	29	na	0.30424	0.98629	0.4908	0.81509	1	0.345	0.236	0.265	0.81798	0.121
AR_MOUSE	29	na	0.30424	0.98629	0.4908	0.81509	1	0.345	0.236	0.265	0.81798	0.121
electron_transporter_activity	79	BioCarta	0.25805	0.97725	0.464	0.82078	1	0.443	0.323	0.305	0.82354	0.116
GLUCOSE_UP	29	Peng_at_al_2002	0.27451	0.9562	0.4947	0.85379	1	0.241	0.18	0.199	0.85444	0.16
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	21	SignallingAlliance	0.30306	0.95252	0.5106	0.84582	1	0.429	0.288	0.306	0.84553	0.145
MAP00361_gamma_Hexachlorocyclohexane_degradation	23	GenMAPP	0.31091	0.9496	0.5498	0.83719	1	0.478	0.306	0.333	0.83662	0.124
gpcrPathway	31	BioCarta	0.27791	0.94112	0.5416	0.84137	1	0.226	0.173	0.188	0.84075	0.127
ST_B_Cell_Antigen_Receptor	32	Signalling Transduction KE	0.26782	0.93953	0.5537	0.82984	1	0.406	0.3	0.286	0.8284	0.099
AR_MOUSE_PLUS_TESTO_FROM_NETAFFX	39	na	0.27196	0.93503	0.5222	0.82545	1	0.308	0.236	0.237	0.82464	0.091
nfatPathway	43	BioCarta	0.25231	0.93438	0.5767	0.81283	1	0.302	0.233	0.234	0.81226	0.067
MAP00120_Bile_acid_biosynthesis	19	GenMAPP	0.31576	0.92434	0.5742	0.82117	1	0.474	0.291	0.337	0.82253	0.075
nktPathway	27	BioCarta	0.31356	0.91857	0.5407	0.81962	1	0.259	0.188	0.212	0.82264	0.062
ST_Phosphoinositide_3_Kinase_Pathway	29	Signalling Transduction KE	0.26672	0.90516	0.6073	0.83402	1	0.207	0.132	0.181	0.83737	0.073
SIG_CD40PATHWAYMAP	25	SignallingAlliance	0.2632	0.9024	0.6066	0.82661	1	0.32	0.222	0.25	0.82794	0.061
MAP00260_Glycine_serine_and_threonine_metabolism	20	GenMAPP	0.29802	0.88096	0.6374	0.85691	1	0.2	0.106	0.18	0.86428	0.094
cell_motility	78	Any process involved in the controlled movement of a cell.	0.21989	0.86969	0.6316	0.86668	1	0.205	0.126	0.182	0.87437	0.105
CR_CYTOSKELETON	21	PNAS_2005	0.29157	0.86942	0.6344	0.85407	1	0.381	0.24	0.291	0.86153	0.075
TGF_Beta_Signaling_Pathway	33	BioCarta	0.24822	0.86351	0.6827	0.8535	1	0.182	0.101	0.165	0.86013	0.068
G13_Signaling_Pathway	22	BioCarta	0.27275	0.86288	0.6434	0.84194	1	0.182	0.0703	0.17	0.84938	0.052
pparaPathway	44	BioCarta	0.22183	0.82274	0.7766	0.9048	1	0.205	0.17	0.171	0.91299	0.143
intrinsicPathway	22	BioCarta	0.2875	0.81386	0.6998	0.90857	1	0.318	0.171	0.265	0.91543	0.142
biopeptidesPathway	31	Extracellular signaling peptides exert biological effects via G-protein coupled receptors (GPCRs), which activate intracellular GTPases.	0.2366	0.812	0.753	0.89905	1	0.29	0.216	0.229	0.9068	0.114
MAP00071_Fatty_acid_metabolism	36	GenMAPP	0.24134	0.80895	0.7388	0.89241	1	0.639	0.401	0.385	0.89899	0.083
FA	18	Manually Curated	0.2921	0.80837	0.6874	0.88103	1	0.167	0.0613	0.157	0.88747	0.064
HTERT_DOWN	62	Smith_et_al_2003	0.20617	0.80037	0.7947	0.8827	1	0.323	0.256	0.243	0.88914	0.051
HUMAN_CD34_ENRICHED_TF_JP	131	Manually Curated	0.1811	0.79096	0.8267	0.88661	1	0.183	0.18	0.154	0.89376	0.057
mcalpainPathway	20	BioCarta	0.24992	0.78806	0.7827	0.87966	1	0.15	0.0985	0.136	0.88656	0.037
no1Pathway	26	BioCarta	0.24182	0.77897	0.7852	0.88326	1	0.346	0.256	0.259	0.89062	0.037
RAR_UP	22	Manually Curated	0.26019	0.75413	0.7674	0.90914	1	0.136	0.0506	0.13	0.91488	0.064
MAP00380_Tryptophan_metabolism	37	GenMAPP	0.22289	0.74788	0.8316	0.90622	1	0.459	0.306	0.321	0.91253	0.048
SIG_PIP3SIGINCARDIACMYOCTES	45	SignallingAlliance	0.18869	0.71608	0.8905	0.93809	1	0.244	0.222	0.192	0.94486	0.12
MAP00150_Androgen_and_estrogen_metabolism	16	GenMAPP	0.28117	0.71129	0.8026	0.93238	1	0.438	0.291	0.311	0.93888	0.083
ST_Ga13_Pathway	26	Signalling Transduction KE	0.20119	0.66449	0.9343	0.97337	1	0.192	0.132	0.168	0.97938	0.289
INS	17	Manually Curated	0.21718	0.65741	0.9218	0.96816	1	0.176	0.132	0.154	0.97417	0.227
S1P_Signaling	15	BioCarta	0.19869	0.60211	0.9594	1	1	0.267	0.205	0.213	1	0.58
SIG_CHEMOTAXIS	27	SignallingAlliance	0.16645	0.59666	0.9596	0.99314	1	0.296	0.267	0.218	0.99676	0.45
inflamPathway	27	BioCarta	0.19777	0.58609	0.9512	0.98804	1	0.185	0.171	0.154	0.99224	0.353
ANTI_CD44_UP	22	Hogerkorp_et_al_2003	0.16859	0.51965	0.9866	1	1	0.409	0.34	0.271	1	0.695
electron_transport	45	BioCarta	0.1417	0.48993	0.9982	1	1	0.333	0.306	0.233	1	0.622
SIG_InsulinReceptorPathwayInCardiacMyocytes	38	SignallingAlliance	0.13485	0.47582	0.9964	0.99158	1	0.184	0.222	0.144	0.9931	0.365
