Gene	BRCA_UP	UPREG_BY_HOXA9	rasPathway	bcrPathway	fmlppathway	MAPK_Cascade	SA_B_CELL_RECEPTOR_C	erkPathway	ngfPathway	igf1Pathway	insulinPathway	egfPathway	pdgfPathway	ST_ERK1_ERK2_MAPK_Pa	ST_Phosphoinositide_	proteasomePathway	NFKB_REDUCED	XINACT_MERGED	gcrPathway	pitx2Pathway
SYK	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BCR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PLCB3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRAS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRAS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKNK1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
TRAF3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COPEB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RAP1A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CREB3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NOS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RELA	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCL2L1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AFX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLLT7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMD14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RPN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PSMC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
UBE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PRKX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
INE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TMSB4X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DDX3X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
STS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EIF1AX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PCTK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AXIN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PITX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HDAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DVL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EP300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KLK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZNF185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RAI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RIMS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PTHLH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CEACAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SCEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HMGN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRS11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUGBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCMT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP11A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALB1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YES1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDE2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC23A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1F0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNG2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TITF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
MAPK1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
