Gene	GPCRs_Class_A_Rhodop	HTERT_DOWN	p53_signalling	MAP00561_Glycerolipi	inflamPathway	cytokinePathway	no2il12Pathway	nktPathway	MAP00195_Photosynthe	cell_adhesion_recept	ck1Pathway	hsp27Pathway	lairPathway	P53_UP	ST_Interleukin_4_Pat	badPathway	p53hypoxiaPathway	chemicalPathway	p53Pathway	radiation_sensitivit
TNFSF5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IL4R	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCNA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRCC5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAH1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0140	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCY	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM2A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEG1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAV2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAMT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PON2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC119	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTO1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPNS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB40B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLY	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYNU	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3E	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JAK2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3Z	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1D	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V0D1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V0A1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1F	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1C1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1B2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FDXR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V0C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JAK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
STAT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CDK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AKR1B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1B1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGKG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G1B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G4A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEL	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNLIPRP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PISD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
