Gene	chr19p13	chr1p36	chr12p13	chr16p11	chr17q25	chr2p13	chr11q12	chr2q35	chr15q26	chr4q13	chr7q36	chr1q24	chr15q25	chr18p11	chr15q22	chr20p11	chr7q34	chr11q24	chr19q13	chr19
SPR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMYD5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HK2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC15L2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLX2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOK1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1B1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RAB31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IMPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
USP14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NAPG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DLGAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MC2R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C18orf43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MC5R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NRGN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NFRKB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FEZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
APLP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ST14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HSPG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPPA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPLA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH4A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUZP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECE1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDOST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZNF337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
THBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C20orf19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CST7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1QR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TULP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLRC4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PZP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRPLA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRB4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M6PR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD163	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3AR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABARAPL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QPRT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORO1A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX4A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLN3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2BP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VKORC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MVP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAL	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAX	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL8RA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FN1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TNP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTPRN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDK5R2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IHH	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARPC2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IL8RB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SLC11A1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WNT6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AREG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PF4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PPBP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UGT2B15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EREG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IL8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
STATH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RORA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ZNF609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MYO1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PPIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TPM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC24A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ANXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TBXAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZYX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CASP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AATK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGSH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGDIA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAIAP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIN2C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4HB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDXR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNGR2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C7orf32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EN2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF282	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RARRES2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NOS3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HLXB9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
XRCC2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KCNH2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACCN3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ZNF592	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CRABP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTSH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RPS17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RASGRF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCL2A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
STARD5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NMB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MYOC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MPZL1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FMO4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DPT	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SELP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CREG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GPA33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRRX1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP1B1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GPR161	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GPX4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPSN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNF126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKACA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATP8B3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OAZ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IFI30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TLE2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
STXBP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRTN3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FUT6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ELL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CSPG3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C19orf6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EMR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PDE4C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
B3GNT3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C19orf10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NDUFB7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ICAM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CALR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JAK3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EDG4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KIAA0963	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JUNB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NFIX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC1A6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ELA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAB11B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRD4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PIK3R2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EDG5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTPRS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ICAM3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ELAVL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BTBD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAN2B1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FUT3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GTF2F1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EPOR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P2RY11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AZU1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NFIC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BSG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKCSH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL27RA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCHO1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2RL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICAM5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M6PRBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4F2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO1F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LILRB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FLJ46061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NPHS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PLA2G4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LILRA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPS16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP2K7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SEPW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LILRB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SULT2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HMG20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CEBPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FZR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HOMER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NKG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PPP2R1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NPAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
FPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RPL28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ITPKC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
KLK13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PVR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SLC17A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MRPS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RABAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
