Gene	chr6	chr14	chr6p21	chr13	chr6p22	chr14q32	chr5q31	chr17q23	chr6q21	chr4p16	chr10q24	chr13q14	chr1q42	chr1q25	chr17q24	chr3q13	chr10q25	chr6q23	chr10p15	chr8p11
SLC17A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HDAC2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARMC2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C6orf51	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FYN	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AIM1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NR2E1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCNC	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD164	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRDM1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FOXO3A	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SEC63	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDK11	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WASF1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C6orf4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
REV3L	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HLA-E	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCP5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPB41L2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
STX7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HBS1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MYB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CTGF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MDC1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDS	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSH5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX16	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BF	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS18B	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPS	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCG9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPC	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLO1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DOA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKIV2L	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS52	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGER	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAXX	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLOT1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF297	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAP2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF76	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RING1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DMA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf130	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDBP	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOM3Z	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK38	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAP1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF318	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQB1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPA1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0082	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DMB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0240	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFYA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC3L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1E1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OK/SW-cl.56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2AP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTRN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNAL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTCRA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0776	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNGTT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K7IP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4I	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIVEP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNCRIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBTK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1117	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPYL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNIH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLE2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTZ1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH6A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRXN3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALKBH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2L3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUMB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSGEP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRN3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGDR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf120	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUT8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUVBL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEX1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf92	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1D	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2B2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1G2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TM4SF8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5C1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36L1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0423	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLH3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD51L1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP4S1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC23A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF268	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDHD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP54	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAZ1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAAM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GARNL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R5E	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0329	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNCH1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRF1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R5C	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP11	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIVA	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R13B	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOAP1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF12	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNS2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YY1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf132	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf109	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VRK1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ11806	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC90925	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIA1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHM	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCL1A	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHES1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf154	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FH	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRY2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SACS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCHL3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIPEP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0774	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF2L	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLN5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU4F1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF3A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF198	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF3A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ING1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APRIN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNB2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBGCP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIG4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP14C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GTF2F2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SUCLA2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DES	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FLJ11712	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKAP11	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RNF6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHC1L	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ESD	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RB1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
