Gene	INSULIN_2F_UP	GLUCOSE_DOWN	HTERT_UP	Cell_Cycle	EMT_UP	p53_signalling	KRAS_TOP100_CONTROL	Proteasome_Degradati	proteasomePathway	CR_TRANSPORT_OF_VESI	cell_cycle_checkpoin	MAP00970_Aminoacyl_t	tRNA_Synthetases	MAP00500_Starch_and_	GLYCOL	p53hypoxiaPathway	vegfPathway	RAP_DOWN	LEU_DOWN	GLUT_DOWN
PCNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSK3B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB3B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB27A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB5B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AP2M1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AP3D1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB1A	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
RAB5A	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAB31	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPA3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MRE11A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAD9A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAD2L1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
E2F4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPL1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKI67	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MYCN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIAT4C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MICB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPZA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HSPA1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FHL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IGFBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MAP4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFN	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPD	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
THBS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDRG4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAF4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BZRP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMAIP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEX1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNH	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASNS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAE1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC1A5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EIF2S1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TSG101	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PYCR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R3HDM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2E2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRPD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFPT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRS11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHFPL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDBP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFRD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1FX	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGIF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGP2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GUSB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GBE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PYGL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GPI	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PGM1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PKM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PSMA3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMB4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPN2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMA2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSMB2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF2S2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PLCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VEGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ARF4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBSCR1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDCBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JTV1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCN1L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADFP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNTA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPYSL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA1L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSDA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLNS1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G3BP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRDX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNRPB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC3A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VIM	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G1P2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UPP1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PTMA	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PHLDA1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSRP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KRAS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
INHBB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
DNCL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VDAC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PSMD2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
BST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NUTF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SPINT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
UNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FDPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MAP2K3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
PSMD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
MTHFD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TCEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SEC61B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MRPL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LDHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
KPNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HPRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TUBA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ERH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SSB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CDC20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CCNB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TGFB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SFRS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
UBE2N	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ATP2A2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKCBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HRAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
STAT1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ILF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSGP25L2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC19A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRDX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NUP160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRPA2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
METTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TMP21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SC4MOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACLY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XPO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IMPDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLIC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LMNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PFKP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LAMB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PAICS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BZW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCT4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NUP98	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
AF1Q	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SSBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
UCHL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PICALM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PGK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
COPB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PAPOLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PSMB5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
RNP24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RTCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RNH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PTPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC7A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
S100A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SNRPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EIF3S9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
USP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRDX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TOP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PSMD11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PGAM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MORF4L2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
HSPA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SRM	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
HSPCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
MLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
NMT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
EIF4G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
EIF4G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
DDX21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TRIP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TFRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
FKBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
HRMT1L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CTSC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TDG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MRPL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
GARP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CCT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
IDI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
PTMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CYCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
