Gene	mitochondr	human_mitoDB_6_2002	GO_0005739	RAP_DOWN	CR_CELL_CYCLE	Cell_Cycle	MAP00240_Pyrimidine_	MAP00230_Purine_meta	Proteasome_Degradati	CR_REPAIR	ANDROGEN_GENES_FROM_	KRAS_TOP100_CONTROL	FRASOR_ER_UP	HOX_LIST_JP	MAP00071_Fatty_acid_	MAP00640_Propanoate_	MAP00280_Valine_leuc	electron_transport	ANTI_CD44_UP	caspasePathway
NT5M	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5C1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGUOK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACACB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LDHB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CASP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CASP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PDE6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C18B11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GREB1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC39A6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SIAH2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TOP2A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCL12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AREG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAB31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PTGES	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
XRCC5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ERCC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAD51	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POLD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DDB2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MSH3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CKN1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
XRCC3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BRCA1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RAD23B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MSH2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HOXB5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RING1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HOXB6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MEIS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SCML1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EED	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DLX4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HOXA11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HOXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BCKDHA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACADS	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ECHS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
HADHA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
MRPS12	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SSBP1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHB	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TK1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DLST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPID	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ20399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YME1L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFB2M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PYGB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magmas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PECI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNNM4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5B	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX15	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRAT	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIPEP	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOD2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA5A	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHC	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLAT	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5A	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLD	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPX4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCI	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BDH	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUD1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTERF	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPO	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATM	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTIF2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKMT1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDX1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA1L	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5D	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5G2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS18B	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNM1L	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCRB	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POPDC2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFG1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAK1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM70A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL33	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5S	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSCP	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPO	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
