Gene	RAP_UP	CR_IMMUNE_FUNCTION	AR_MOUSE_PLUS_TESTO_	AR_ORTHOS_MAPPED_TO_	AR_MOUSE	SIG_BCR_Signaling_Pa	ST_B_Cell_Antigen_Re	SIG_PIP3_signaling_i	at1rPathway	tcrPathway	bcrPathway	fcer1Pathway	ST_JNK_MAPK_Pathway	ST_Gaq_Pathway	ST_MONOCYTE_AD_PATHW	SA_B_CELL_RECEPTOR_C	ST_Dictyostelium_dis	ST_GRANULE_CELL_SURV	tnfr1Pathway	gleevecPathway
ADRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GNAI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASAH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
EPHB2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
BF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
PITX2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
MAPK8	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
FCER1G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NFATC3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ATF2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
PAPPA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GAB1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
TP53	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MYEF2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL1R1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DUSP10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDC42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP4K1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP5D	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLOT2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPS6KA2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TEC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFE3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCA127	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD69	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLAMF1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD22	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC38A6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLJ3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR7A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUTL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNMB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4K2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SASH1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAAM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab11-FIP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFIT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHG3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0746	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNIP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOTCH4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOCK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LKAP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ13052	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU2F2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUND	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNIP3L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD48	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2B6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAP2K2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGT	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTK2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTPN7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LCK	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD3D	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RPS4X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ITGA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CD79A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD79B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PHKA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PLD3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADRBK1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VAV1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0
LYN	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0
SYK	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0
FOS	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1
MAP3K1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1
JUN	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1
RAC1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0
RAF1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1
PPP3CC	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
PRKCB1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
CALM1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
SYT1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
